name,value
Ensino Fundamental,Ensino Fundamental
Ensino Médio,Ensino Médio
Graduação,Graduação
Mestrado,Mestrado
MBA,MBA
Doutorado,Doutorado
Pós Doutorado,Pós Doutorado
